2024-08-09,12.80k
2024-08-10,12.35k
2024-08-11,13.32k
2024-08-12,13.50k
2024-08-13,15.97k
2024-08-14,14.81k
2024-08-15,28.35k
2024-08-16,16.14k
2024-08-17,16.46k
2024-08-18,13.65k
2024-08-19,17.01k
2024-08-20,14.14k
2024-08-21,13.28k
2024-08-22,13.43k
2024-08-23,12.28k
2024-08-24,12.35k
2024-08-25,8.78k
2024-08-26,10.36k
2024-08-27,12.57k
2024-08-28,9.40k
2024-08-29,17.82k
2024-08-30,12.81k
2024-08-31,12.45k
2024-09-01,11.06k
2024-09-02,8.83k
2024-09-03,16.41k
2024-09-04,15.01k
2024-09-05,16.85k
2024-09-06,14.57k
2024-09-07,10.99k
