2024-08-09,105.14k
2024-08-10,118.91k
2024-08-11,119.14k
2024-08-12,104.27k
2024-08-13,117.69k
2024-08-14,114.85k
2024-08-15,114.68k
2024-08-16,88.45k
2024-08-17,99.19k
2024-08-18,85.92k
2024-08-19,97.10k
2024-08-20,84.37k
2024-08-21,107.54k
2024-08-22,100.15k
2024-08-23,99.74k
2024-08-24,98.57k
2024-08-25,94.80k
2024-08-26,98.44k
2024-08-27,95.91k
2024-08-28,110.83k
2024-08-29,85.77k
2024-08-30,91.08k
2024-08-31,91.33k
2024-09-01,90.78k
2024-09-02,95.46k
2024-09-03,93.68k
2024-09-04,107.94k
2024-09-05,109.51k
2024-09-06,98.83k
2024-09-07,96.80k
